BookName, Author,Publisher,Code 
宏观审慎框架下的商业银行资产负债表监管策略研究,刘旭妍著,吉林科学技术出版社2021,F832.33/428
广播电视艺术与新媒体技术发展研究,徐秋枫_ 霍学全_ 张艳鑫著,吉林文史出版社有限责任公司2022,G220/93
Python金融数据分析,(新加坡) 马伟明著,机械工业出版社2021,F830.41/30
乡村振兴背景下农村产业创新发展研究,耿树海_ 成雅君_ 李占平著,吉林出版集团股份有限公司2021,F320.1/108
融资担保公司业务变革及规范管理解析,杜永杰_ 郭强著,中国商业出版社2022,F832.48/375
日语演讲与辩论,主编初相娟,上海外语教育出版社2021,H36/302
8561 A股特色股票投资交易体系,刘金锁著,中华工商联合出版社有限责任公司2022,F832.51/879
金融投资管理与市场运营,李深静著,中国商务出版社2022,F830.59/1651
改革开放简史,本书编写组编著,人民出版社2021,D61/954
战略性绩效管理,方振邦_ 杨畅编著,中国人民大学出版社2022,F272.92/1524-6
社区治理的创新性实践研究,卫利珍著,中国华侨出版社2021,D669.3/663
乡村振兴和农村就地现代化研究,萧洪恩_ 王娟著,中国国际广播出版社2022,F320.3/102
中国外资银行百年史.1845-1949,宋佩玉著,上海远东出版社2022,F832.95/52
汇丰银行与近代中国,主编宋佩玉,上海远东出版社2022,F832.765.8/35
上海非物质文化遗产发展报告.2022.推动非遗保护实践融入国家与地方重大发展战略,主编徐锦江,上海远东出版社2022,G127.51/26
区域行政协议的运行机制和实现路径研究,汪建昌著,东南大学出版社2021,DF304/682
精准扶贫视角下的小额信贷研究,谢玉梅_ 徐玮_ 夏璐等著,格致出版社2021,F830.51/47
行政不作为的司法审查,张松波著,东南大学出版社2021,DF304/683
股市博弈论,雷彦璋著,地震出版社2022,F830.91/1914-2
精准买卖点策略与方法,(美) 约翰·内托著,地震出版社2022,F830.91/2108
投资者情绪对我国新股发行市场异象影响的研究,田岚著,中国农业出版社2022,F832.51/880
聪明的产品经理如何思考,朱正华_ 唐润秋_ 何邑雄著,中华工商联合出版社有限责任公司2022,F273.2/1099
中国品牌的国际传播研究,陈正辉著,江苏人民出版社2022,G206/368
孝文化与家庭养老,胡泽勇编著,湖北人民出版社2022,B823.1/114
体旅产业融合发展促进乡村振兴的路径研究,齐立斌著,中国社会出版社2022,F592.3/349
新闻学的理论与实践研究,刘蓓著,延边大学出版社2022,G210/454
新农经济.产业互联网视角下的农业产业升级路径研究,樊一麟著,中国农业出版社2022,F323/275
农产品品牌战略与传播,许安心_ 郑秋锦_ 林榅荷著,新华出版社2022,F326.5/56
股票作手回忆录,(美) 杰西·利弗莫尔著,中华工商联合出版社有限责任公司2022,F837.125/253
全面建成小康社会.兑现向人民向历史作出的庄严承诺,主编吴厚庆,国家行政学院出版社2021,F124.7/425
《共产党宣言》经典文本解读,李世忠著,国家行政管理出版社2021,A811.22/42
东欧马克思主义符号学研究,匡存玖著,四川大学出版社2022,A81/415
新时代的生态文明建设,当代中国研究所编著,当代中国出版社2022,X321.2/400
民事强制执行疑难问题与实务要点,向国慧著,中国法制出版社2022,DF728.5/50
以接近人类的方式研究人类.心理学中的24个蝴蝶效应个案,(英) 杰夫·罗尔斯著,中国人民大学出版社2022,B84/475
马克思哲学变革的当代阐明,侯惠勤著,中国人民大学出版社2022,B0-0/672
科技金融.理论与实证分析,王海芸_ 张明喜_ 刘杨著,科学出版社2021,F832/484
华为.伟大都是奋斗出来的,任景涛_ 罗静珊著,光明日报出版社2021,F632.765.3/96
中华人民共和国行政处罚法,,人民法院出版社2021,DF312.1/5
中国共产党组织建设一百年,中共中央组织部编,党建读物出版社2021,D262/11
金融支持脱贫攻坚和乡村振兴理念与实践研究,宋洪远_ 徐岗_ 夏英主编,中国农业出版社2022,F832.35/344
迈向新时代的智慧社会.中国智慧城市发展战略研究,王世福_ 张振刚著,科学出版社2021,F299.2/336
手把手教你提升银行零售业绩,宗学哲_ 王炳文著,中华工商联合出版社有限责任公司2022,F832.33/429
俄罗斯反垄断法研究,刘继峰著,北京大学出版社2022,DF414.4/666
冷思考_ 暖思考.权力与同理心的矛盾,(德) 沃尔夫冈·施密德鲍尔著,华东师范大学出版社2022,F069.9-49/14
人端艺秀.巴菲特与芒格投资之道,吴捷径著,中国金融出版社2021,F830.91/2109
动态效率.规模、利润与需求的最优解,陈科著,中信出版集团股份有限公司2022,F274/1596
旅游社区治理研究,蔡克信_ 郭凌著,西南财经大学出版社2022,F592.61/12
自然资源管理,王兆林等编著,中国农业出版社2022,F124.5/319
人民币国际化.回顾与展望,翁东玲著,长春出版社2021,F822/117
媒介转型时期网络新闻伦理失范与建构研究,庐慧著,吉林大学出版社2022,G210.7/42
财富管理全球经验,(澳大利亚) 夏文庆主编,机械工业出版社2021,F830.593/60
区域文化资源的产业化运营发展,谢伦灿著,中国书籍出版社2022,G127/54
